Ticker,Date,Actual_Close,ARIMAX_Predicted_Close,GRU_Predicted_Close,LSTM_Predicted_Close,TRANSFORMER_Predicted_Close
FPT,2023-04-11,49.93,49.881057723950654,50.049768555164334,49.9504514837265,50.036566753387454
FPT,2023-04-12,49.93,49.937754034106,50.19323249936104,49.91069727540016,50.03685840725899
FPT,2023-04-13,49.5,49.91801826025247,50.137437328100205,49.92968453764915,50.03601320624352
FPT,2023-04-14,49.5,49.54709887706787,49.70153796672821,49.442490220069885,49.60321193933487
FPT,2023-04-17,49.5,49.52627420133136,49.68443137407303,49.46040818095207,49.60301721096039
HPG,2023-04-11,15.76,15.66469753922101,16.038036231994628,15.874725952148438,15.769220733642578
HPG,2023-04-12,15.72,15.801498972097018,15.955783329010009,15.872741212844849,15.76110281944275
HPG,2023-04-13,15.49,15.676188596121111,15.98586949825287,15.808370804786684,15.653648343086244
HPG,2023-04-14,15.64,15.506214077287453,15.493205614089966,15.52795402765274,15.399765471816064
HPG,2023-04-17,15.79,15.65753703229809,15.627611773014069,15.628598058223725,15.55717441558838
MSN,2023-04-11,77.9,77.05652165306226,76.85537226200104,76.98955137729645,76.95401875972748
MSN,2023-04-12,79.5,77.86417225009438,77.59112028479576,77.68622698783875,77.52439747452736
MSN,2023-04-13,79.2,79.79033892146285,79.62375247478485,78.70735108852386,79.8304962515831
MSN,2023-04-14,78.1,79.20905044634938,79.55893278121948,78.81739768981934,79.54147567749024
MSN,2023-04-17,78.1,77.89353326628732,76.7217298746109,77.54070096611976,78.40143781900406
VCB,2023-04-11,49.59,50.06228627398757,49.88371388196945,49.97771103858948,50.093764643669125
VCB,2023-04-12,49.65,49.58013579711763,49.45101855039597,49.46992085516453,49.62476014137268
VCB,2023-04-13,49.59,49.545257170761936,49.55132570564746,49.67321330308914,49.67081621289253
VCB,2023-04-14,49.71,49.67131703343385,49.49671513080597,49.58811715900898,49.60763426899911
VCB,2023-04-17,49.71,49.743823149863154,49.61832346022129,49.74455981254578,49.73064581394196
VIC,2023-04-11,26.8,26.85177743303052,26.961957228183746,27.403485453128813,26.761153405904768
VIC,2023-04-12,26.55,26.746027719308675,27.041565895080566,26.572564744949343,26.767689299583434
VIC,2023-04-13,26.5,26.52080411198668,26.9263477742672,27.517457073926927,26.75107287168503
VIC,2023-04-14,26.45,26.61877192111347,25.91799312829972,25.661097913980484,26.52388870716095
VIC,2023-04-17,26.45,26.43375646611572,25.257413122057915,25.712062856554983,26.415858387947083
VNM,2023-04-11,62.41,62.37201381394673,62.40726585447788,62.45713890075683,62.44385132551193
VNM,2023-04-12,62.33,62.41994940301629,62.41423327565193,62.41061750769615,62.441061381101605
VNM,2023-04-13,61.66,62.25635263846625,62.30385643661022,62.35405192971229,62.34780303478241
VNM,2023-04-14,61.07,61.76617915406599,61.71129875421524,61.7295425581932,61.70682233333587
VNM,2023-04-17,60.15,61.0489451769375,61.29845717310906,61.25568651914597,61.12123742341996
