Date,Open,High,Low,Close,Volume,Ticker
01-04-09,2.72,2.73,2.67,2.73,311150,FPT
02-04-09,2.87,2.87,2.83,2.87,1114300,FPT
03-04-09,2.99,2.99,2.99,2.99,900770,FPT
07-04-09,2.99,3.13,2.96,3.13,1551610,FPT
08-04-09,3.1,3.28,2.99,3.02,1546630,FPT
01-04-09,0.74,0.76,0.72,0.76,847700,HPG
02-04-09,0.77,0.79,0.76,0.79,1062630,HPG
03-04-09,0.83,0.83,0.83,0.83,537350,HPG
07-04-09,0.83,0.87,0.82,0.87,1363750,HPG
08-04-09,0.86,0.91,0.83,0.83,1407720,HPG
05-11-09,22.24,22.24,22.24,22.24,46500,MSN
06-11-09,23.32,23.32,22.65,23.32,1420500,MSN
09-11-09,22.65,23.27,22.19,22.19,379190,MSN
10-11-09,21.1,21.16,21.1,21.1,241150,MSN
11-11-09,20.44,21.1,20.07,20.59,416210,MSN
30-06-09,9.13,9.13,9.13,9.13,294070,VCB
01-07-09,9.59,9.59,9.06,9.21,6248390,VCB
02-07-09,9.06,9.13,8.75,8.83,1515670,VCB
03-07-09,8.6,8.68,8.53,8.53,899720,VCB
06-07-09,8.53,8.91,8.53,8.91,1571740,VCB
01-04-09,1.13,1.19,1.1,1.19,360900,VIC
02-04-09,1.19,1.2,1.17,1.18,359180,VIC
03-04-09,1.23,1.23,1.22,1.23,165230,VIC
07-04-09,1.29,1.29,1.24,1.29,313750,VIC
08-04-09,1.29,1.35,1.24,1.25,523000,VIC
01-04-09,3.63,3.63,3.54,3.56,29920,VNM
02-04-09,3.58,3.65,3.56,3.65,39420,VNM
03-04-09,3.74,3.83,3.74,3.8,156200,VNM
07-04-09,3.87,3.87,3.76,3.85,69370,VNM
08-04-09,3.76,3.78,3.67,3.67,80990,VNM
